Job Title,Job Description,Skills,Certifications
Associate Infrastructure Support Engineer,"The Associate Infrastructure Support Engineer performs routine infrastructure operations and maintenance activities. They assist with monitoring infrastructure performance. They check for problems in existing systems and modify work processes by following defined procedures, processes, and quality standards. They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays. The Associate Infrastructure Support Engineer works in a team setting and is proficient in infrastructure systems and network-related tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the database is deployed. The Associate Infrastructure Support Engineer can solve issues quickly and effectively as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 2; Cyber and Data Breach Incident Management Level 2; Infrastructure Deployment Level 1-2; Infrastructure Support Level 1-2; Network Administration and Maintenance Level 1-2; Network Configuration Level 2; Process Improvement and Optimization Level 3; Procurement Level 2; Project Management Level 3; Service Level Management Level 3; Stakeholder Management Level 2-3; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
Infrastructure Support Engineer,"The Infrastructure Support Engineer assists with infrastructure planning, design, operations, and maintenance. They assist with technical infrastructure performance analysis to identify problems and risks, make improvement recommendations, and support the implementation of preventive solutions. They follow procedures, processes, and quality standards and take appropriate corrective action in response to readily identifiable infrastructure problems and incidents. They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays. The Infrastructure Support Engineer works in a team setting and is proficient in Infrastructure systems and network-related tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the database is deployed. The Infrastructure Support Engineer can resolve issues quickly and effectively as they arise. They can methodically identify and evaluate the cause of issues, and develop solutions in collaboration with the team. They can communicate effectively and display high service level standards.",Business Continuity Level 4; Business Needs Analysis Level 3; Cyber and Data Breach Incident Management Level 3-4; Infrastructure Deployment Level 3; Infrastructure Support Level 3; Learning and Development Level 4; Network Administration and Maintenance Level 3; Network Configuration Level 3; People and Performance Management Level 3; Problem Management Level 3; Process Improvement and Optimization Level 4; Procurement Level 3; Project Management Level 4; Service Level Management Level 4; Stakeholder Management Level 4; Strategy Implementation Level 3; Collaboration Intermediate; Communication Intermediate; Digital Fluency Basic; Problem Solving Intermediate; Self Management Intermediate,
Associate Systems Support Engineer,"The Associate Systems Support Engineer performs routine systems administration-related activities. They ensure systems operate in a manner that meets business needs and that system improvements are successfully implemented. They assist with implementing remedial actions in the event of system failures/breakdowns. They maximize service uptime, maintain system backups, manage service licensing, and maintain security standards. They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays to resolve systems-related incidents. The Associate Systems Support Engineer works in a team setting and is proficient in infrastructure systems and network-related tools and techniques required by the organization. They are also familiar with the relevant platforms on which the database is deployed on. The Associate Systems Support Engineer can quickly and effectively solve issues as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 2; Configuration Tracking Level 1-2; Cyber and Data Breach Incident Management Level 2; Infrastructure Support Level 1-2; IT Asset Management Level 2; Network Administration and Maintenance Level 1-2; Process Improvement and Optimisation Level 3; Procurement Level 2; Project Management Level 3; Security Administration Level 3; Service Level Management Level 3; Stakeholder Management Level 2-3; System Integration Level 3; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
Systems Support Engineer,"The Systems Support Engineer undertakes complex projects related to system provisioning, installations, and configurations as well as monitoring and maintenance of systems. They apply highly developed specialist knowledge and skills in systems administration and work toward continuous optimization of system performance. They implement system improvements and instruct other IT staff in the resolution of most complex issues. They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays to resolve systems-related incidents. The Systems Support Engineer works in a team setting and is proficient in Infrastructure systems and network-related tools and techniques required by the organization. They are also familiar with the relevant platforms on which the database is deployed on. The Systems Support Engineer can quickly and effectively solve issues as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Continuity Level 4; Business Needs Analysis Level 3; Configuration Tracking Level 3; Cyber and Data Breach Incident Management Level 3-4; Infrastructure Support Level 3; IT Asset Management Level 3; Learning and Development Level 4; Network Administration and Maintenance Level 3; People and Performance Management Level 3; Performance Management Level 4; Problem Management Level 3; Process Improvement and Optimisation Level 4; Procurement Level 3; Project Management Level 4; Security Administration Level 4; Security Programme Management Level 3; Service Level Management Level 4; Collaboration Intermediate; Communication Intermediate; Digital Fluency Basic; Problem Solving Basic; Self Management Intermediate,
Associate Database Administrator,"The Associate Database Administrator identifies, tests, and deploys all database technologies (SQL, MySQL, PostgreSQL, MongoDB, and other relevant query language) and support tools. They ensure system improvements are successfully implemented and are responsible for verifying all data to be entered into the database meets set standards and requirements as well as installing, configuring, and maintaining the database infrastructure within assigned span-of-control. They assist in project planning by establishing work plans, estimates, milestones, and schedules. They are required to be on standby with on-call availability to resolve database-related incidents. The Associate Database Administrator works in a team setting and is proficient in database administration, and database management-related tools and techniques. They are also familiar with the relevant software platforms on which the database is deployed. The Associate Database Administrator can quickly and effectively solve issues as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 2; Configuration Tracking Level 1-2; Cyber and Data Breach Incident Management Level 2; Data Engineering Level 2; Data Migration Level 3; Database Administration Level 2; Infrastructure Support Level 1-2; IT Asset Management Level 2; Problem Management Level 3; Process Improvement and Optimisation Level 3; Procurement Level 2; Project Management Level 3; Security Administration Level 2; Service Level Management Level 3; Stakeholder Management Level 2-3; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
Database Administrator,"The Database Administrator undertakes complex projects requiring additional technical knowledge and makes decisions on ambiguous administrative and support issues. They apply highly developed specialist knowledge and skills in database administration. They implement database improvements and provide the necessary advice on setting up new databases, optimizing database performance, and resolving issues that arise during the set-up and update of databases. They are also responsible for resolving database- related incidents and ensuring database security and integrity controls are in place. The Database Administrator works in a team setting and is proficient in database administration, and database management-related tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the database is deployed on. The Database Administrator can methodically identify the causes of complex issues, evaluate them, and develop solutions in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 3; Business Continuity Level 4; Configuration Tracking Level 3; Cyber and Data Breach Incident Management Level 3-4; Data Engineering Level 3; Data Migration Level 4; Database Administration Level 4; Infrastructure Support Level 3; IT Asset Management Level 3; IT Strategy Level 4; Learning and Development Level 4; People and Performance Management Level 3; Performance Management Level 4; Problem Management Level 3; Process Improvement and Optimization Level 4; Procurement Level 3; Project Management Level 4; Service Level Management Level 4; Stakeholder Management Level 4; Strategy Implementation Level 3; Security Administration Level 4; Collaboration Intermediate; Communication Intermediate; Digital Fluency Basic; Problem Solving Basic; Self Management Intermediate,
Associate Data Center Operations Engineer,"The Associate Data Center Operations Engineer provides data center systems maintenance and monitoring service and basic support in data center equipment installation. They should possess a strong foundation in operating systems, including proficiency in Linux and Windows OS. Essential skills involve scripting and automation capabilities, utilizing languages such as Bash or PowerShell to streamline tasks and enhance operational efficiency. They monitor data volume, maintain internal documentation, and perform independent troubleshooting of recurring issues whenever required. They also assist with the set-up of data center facilities and equipment, They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays to resolve data center-related incidents. The Associate Data Center Operations Engineer works in a team setting and is proficient in database administration, infrastructure concepts, and database management-related tools and techniques. They are also familiar with the relevant software platforms on which the database is deployed. The Associate Data Center Operations Engineer can resolve issues quickly and effectively as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 2; Cyber and Data Breach Incident Management Level 2; Data Center Facilities Management Level 2; Infrastructure Support Level 1-2; IT Asset Management Level 2; Process Improvement and Optimisation Level 3; Procurement Level 2; Project Management Level 3; Service Level Management Level 3; Stakeholder Management Level 2-3; System Integration Level 3; Communication Basic; Interpersonal Skills Basic; Problem Solving Basic; Service Orientation Basic; Teamwork Basic,
Data Center Operations Engineer,"The Data Center Operations Engineer provides support in data center equipment installation, logging data regarding the installed corporate server base, developing procedures for server installation, racking, un-racking, decommissioning hardware, and cable patching from server through to server farm switches. They manage the data center’s performance and operations. They monitor data volume and perform troubleshooting of non-routine or novel issues with little precedence whenever required. They are required to be on standby with on-call availability with varied shifts including nights, weekends, and holidays to resolve data center-related incidents. The Data Center Operations Engineer works in a team setting and is proficient in database administration, infrastructure concepts, and database management-related tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the database is deployed. The Data Center Operations Engineer can quickly and effectively solve issues as they arise. They can methodically identify the cause of the issue, evaluate it, and develop a solution in collaboration with the team. They can communicate effectively and display high service level standards.",Business Needs Analysis Level 3; Business Continuity Level 4; Cyber and Data Breach Incident Management Level 3-4; Data Center Facilities Management Level 3; Disaster Recovery Management Level 4; Infrastructure Support Level 3; IT Asset Management Level 3; IT Strategy Level 4; Learning and Development Level 4; People and Performance Management Level 3; Performance Management Level 4; Problem Management Level 3; Process Improvement and Optimisation Level 4; Procurement Level 3; Project Management Level 4; Service Level Management Level 4; Stakeholder Management Level 4; Strategy Implementation Level 3; System Integration Level 4; Collaboration Intermediate; Communication Intermediate; Digital Fluency Basic; Problem Solving Basic; Self Management Intermediate,
Associate Operations Center Support Engineer,"The Associate Operations Center Support Engineer is responsible for monitoring and identifying incidents in hardware and software components across the organization. They analyze problems and perform troubleshooting and incident response on the system. They are also responsible for maintaining technical and systems documentation. The Associate Operations Center Support Engineer works in a team setting and is proficient in operating systems, network and infrastructure, and monitoring tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the solutions are deployed. The Associate Operations Center Support Engineer has strong critical thinking skills to identify issues and is passionate about analyzing and resolving problems and addressing technical challenges.",Business Needs Analysis Level 2; Configuration Tracking Level 1-2; Cyber and Data Breach Incident Management Level 2; Data Center Facilities Management Level 2; Infrastructure Support Level 1-2; IT Asset Management Level 2; Process Improvement and Optimisation Level 3; Procurement Level 2; Project Management Level 3; Service Level Management Level 3; Stakeholder Management Level 2-3; Systems Integration Level 3; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
Operations Center Support Engineer,"The Operations Center Support Engineer works closely with the hardware and software teams in the organization. They are responsible for implementing and installing new software and hardware components across the organization. They have to ensure the systems are reliable and monitored, and support operations are conducted on a timely manner. They will also collaborate with stakeholders to serve, observe, own, and solve problems through innovation, reducing friction with production deployments, and increasing availability. The Operations Center Support Engineer works in a team setting and is proficient in database systems, network and infrastructure, and monitoring tools and techniques required by the organization. They are also familiar with the relevant software platforms on which the solutions are deployed. The Operations Center Support Engineer applies critical thinking skills to resolve complex issues. They also apply creative skills in addressing technical challenges on the job.",Business Continuity Level 4; Business Needs Analysis Level 3; Configuration Tracking Level 3; Cyber and Data Breach Incident Management Level 3-4; Data Center Facilities Management Level 3; Infrastructure Support Level 3; IT Asset Management Level 3; Learning and Development Level 4; People and Performance Management Level 3; Performance Management Level 4; Process Improvement and Optimisation Level 4; Problem Management Level 3; Project Management Level 4; Procurement Level 3; Service Level Management Level 4; Stakeholder Management Level 4; Strategy Implementation Level 3; System Integration Level 4; Collaboration Basic; Communication Basic; Digital Fluency Basic; Problem Solving Basic; Self Management Basic,
